Player,Pos,FG%,3P%,2P%,eF%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MCid,KMid,Hierid
Precious Achiuwa,PF,0.57,0,0.57,0.57,0.5,1.2,2.3,3.5,0.5,0.3,0.5,0.8,1.5,5.2,1,1,1
Steven Adams,C,0.618,0,0.625,0.618,0.441,4,4.9,8.9,1.9,0.9,0.6,1.5,2,7.9,1,1,1
Bam Adebayo,C,0.564,0.25,0.568,0.566,0.824,2.4,7.2,9.6,5.4,0.9,1.2,2.6,2.2,19.2,2,2,2
Nickeil Alexander-Walker,SG,0.418,0.348,0.487,0.504,0.75,0.2,2.8,3.1,2,1,0.5,1.4,1.9,10.2,2,3,3
Jarrett Allen,C,0.633,0.417,0.642,0.641,0.704,3,6.9,9.9,1.7,0.5,1.7,1.5,1.6,13.1,1,1,1
Kyle Anderson,PF,0.478,0.367,0.549,0.55,0.758,0.7,5.2,5.9,3.5,1.2,0.8,1.3,1.5,12.6,2,3,1
Giannis Antetokounmpo,PF,0.565,0.302,0.632,0.595,0.687,1.8,9.6,11.4,6.2,1.1,1.3,3.8,2.9,28.8,2,2,2
Thanasis Antetokounmpo,SF,0.579,0.35,0.64,0.616,0.483,0.9,1.4,2.3,0.8,0.4,0.2,0.8,1.3,3.4,3,3,1
Carmelo Anthony,PF,0.411,0.382,0.43,0.486,0.869,0.5,2.8,3.3,1.7,0.8,0.7,1,2.2,13.6,2,3,3
D.J. Augustin,PG,0.384,0.371,0.406,0.5,0.923,0.4,1.3,1.6,3.2,0.5,0,1.1,1,6.9,3,3,3
Deni Avdija,SF,0.427,0.327,0.548,0.516,0.647,0.4,4.5,5,1.2,0.5,0.2,0.7,2.7,6.6,1,3,3
Deandre Ayton,C,0.609,0.222,0.623,0.613,0.767,3.3,7.5,10.8,1.5,0.4,1.2,1.7,3,14.8,1,1,1
Dwayne Bacon,SG,0.396,0.312,0.434,0.444,0.833,0.3,2.7,3,1.2,0.5,0.1,0.7,1.6,10.4,3,3,3
Marvin Bagley III,PF,0.502,0.354,0.547,0.543,0.56,2.5,5,7.4,0.9,0.5,0.5,1.3,2.4,13.9,1,1,1
LaMelo Ball,PG,0.451,0.375,0.503,0.528,0.789,1.3,4.5,5.9,6.1,1.6,0.3,2.8,2.8,15.9,2,2,2
Lonzo Ball,PG,0.424,0.384,0.5,0.55,0.792,0.6,3.6,4.2,5.7,1.4,0.6,2,2,14.5,2,2,2
Desmond Bane,SG,0.472,0.446,0.5,0.587,0.848,0.4,2.8,3.1,1.4,0.7,0.2,1,1.9,9.5,3,3,3
Harrison Barnes,PF,0.493,0.362,0.572,0.561,0.828,1.2,5.5,6.7,3.6,0.8,0.2,1.5,1.3,15.7,2,3,1
RJ Barrett,SG,0.45,0.38,0.473,0.497,0.735,1.1,4.8,5.9,3,0.7,0.3,2,2.6,17.5,2,2,1
Will Barton,SF,0.43,0.377,0.469,0.509,0.766,0.7,3.5,4.3,3.2,0.9,0.5,1.7,1.6,12.8,2,3,3
Nicolas Batum,SF,0.457,0.42,0.536,0.6,0.833,0.8,4.1,4.9,2.4,1.1,0.4,0.8,1.6,8.3,3,3,3
Aron Baynes,C,0.43,0.242,0.525,0.471,0.73,1.7,3.5,5.1,0.9,0.3,0.4,0.9,2.3,5.9,3,3,3
