Player,Pos,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MCid,KMid,Hierid
Precious Achiuwa,PF,2.1,3.7,0,0,2.1,3.7,1,2,1.2,2.3,3.5,0.5,0.3,0.5,0.8,1.5,5.2,1,4,1
Steven Adams,C,3.4,5.6,0,0.1,3.4,5.5,1,2.4,4,4.9,8.9,1.9,0.9,0.6,1.5,2,7.9,1,1,1
Bam Adebayo,C,7.2,12.8,0,0.2,7.2,12.7,4.7,5.7,2.4,7.2,9.6,5.4,0.9,1.2,2.6,2.2,19.2,2,2,2
Nickeil Alexander-Walker,SG,3.9,9.2,1.6,4.6,2.3,4.7,1,1.3,0.2,2.8,3.1,2,1,0.5,1.4,1.9,10.2,3,3,3
Jarrett Allen,C,4.8,7.5,0.1,0.3,4.6,7.2,3.5,4.9,3,6.9,9.9,1.7,0.5,1.7,1.5,1.6,13.1,1,1,1
Kyle Anderson,PF,4.6,9.7,1.4,3.8,3.2,5.9,1.9,2.6,0.7,5.2,5.9,3.5,1.2,0.8,1.3,1.5,12.6,3,3,1
Giannis Antetokounmpo,PF,10.4,18.4,1.1,3.8,9.3,14.7,6.8,9.9,1.8,9.6,11.4,6.2,1.1,1.3,3.8,2.9,28.8,2,2,2
Thanasis Antetokounmpo,SF,1.4,2.5,0.2,0.5,1.3,2,0.4,0.8,0.9,1.4,2.3,0.8,0.4,0.2,0.8,1.3,3.4,4,4,4
Carmelo Anthony,PF,4.8,11.7,1.8,4.6,3.1,7.1,2.2,2.5,0.5,2.8,3.3,1.7,0.8,0.7,1,2.2,13.6,3,3,3
D.J. Augustin,PG,2.2,5.6,1.3,3.5,0.9,2.1,1.3,1.4,0.4,1.3,1.6,3.2,0.5,0,1.1,1,6.9,3,4,4
Deni Avdija,SF,2.5,6,1.1,3.3,1.5,2.7,0.5,0.7,0.4,4.5,5,1.2,0.5,0.2,0.7,2.7,6.6,4,4,1
Deandre Ayton,C,6.4,10.4,0.1,0.4,6.3,10.1,2,2.7,3.3,7.5,10.8,1.5,0.4,1.2,1.7,3,14.8,1,1,1
Dwayne Bacon,SG,3.8,9.7,0.9,3,2.9,6.6,1.8,2.1,0.3,2.7,3,1.2,0.5,0.1,0.7,1.6,10.4,3,4,3
Marvin Bagley III,PF,5.6,11.2,0.9,2.6,4.7,8.6,1.6,2.9,2.5,5,7.4,0.9,0.5,0.5,1.3,2.4,13.9,1,1,1
LaMelo Ball,PG,5.8,12.8,2,5.3,3.8,7.6,2.4,3,1.3,4.5,5.9,6.1,1.6,0.3,2.8,2.8,15.9,3,2,3
Lonzo Ball,PG,5.2,12.3,3.1,8.1,2.1,4.2,0.9,1.2,0.6,3.6,4.2,5.7,1.4,0.6,2,2,14.5,3,3,3
Desmond Bane,SG,3.6,7.5,1.7,3.9,1.8,3.6,0.6,0.7,0.4,2.8,3.1,1.4,0.7,0.2,1,1.9,9.5,4,4,4
Harrison Barnes,PF,5.4,10.9,1.5,4.1,3.9,6.8,3.5,4.2,1.2,5.5,6.7,3.6,0.8,0.2,1.5,1.3,15.7,3,3,1
RJ Barrett,SG,6.6,14.7,1.4,3.6,5.2,11.1,3,4.1,1.1,4.8,5.9,3,0.7,0.3,2,2.6,17.5,2,2,2
Will Barton,SF,4.8,11,1.8,4.6,3,6.4,1.5,2,0.7,3.5,4.3,3.2,0.9,0.5,1.7,1.6,12.8,3,3,3
Nicolas Batum,SF,2.8,6.2,1.8,4.2,1.1,2,0.8,1,0.8,4.1,4.9,2.4,1.1,0.4,0.8,1.6,8.3,4,4,1
Aron Baynes,C,2.4,5.7,0.5,1.9,2,3.8,0.6,0.8,1.7,3.5,5.1,0.9,0.3,0.4,0.9,2.3,5.9,1,4,1
Kent Bazemore,SF,2.2,4.9,0.9,2.3,1.3,2.6,0.7,1,0.3,2.5,2.8,1.5,0.9,0.5,1.1,2.1,6.1,4,4,4
Bradley Beal,SG,11,22.5,2.2,6.5,8.7,16,7,7.8,1.1,3.8,4.9,4.8,1.2,0.4,3.3,2.4,31.2,2,2,2
Malik Beasley,SG,7.1,16.2,3.5,8.7,3.7,7.5,1.8,2.2,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,3,3,3
Davis Bertans,PF,3.3,8.3,2.9,7.4,0.4,0.9,1.7,1.9,0.4,2.5,2.9,0.9,0.6,0.2,0.6,2.4,11.3,3,3,3
Saddiq Bey,SF,3.5,8.6,2.3,5.9,1.2,2.7,1.6,1.8,0.5,3.4,3.9,1.3,0.6,0.1,0.7,1.7,10.8,3,3,4
Khem Birch,C,2,4.4,0.1,0.4,1.9,3.9,1.3,1.8,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3,1,4,1
Bismack Biyombo,C,2.3,3.9,0,0,2.3,3.9,0.8,1.7,2,3.2,5.2,1.3,0.3,1.1,1,2.4,5.3,1,1,1
Eric Bledsoe,SG,4.2,10.2,1.9,5.1,2.4,5.1,1.7,2.4,0.4,3,3.4,3.8,0.7,0.3,1.6,1.7,12,3,3,3
Bojan Bogdanovic,SF,4.9,11.8,2.4,6.3,2.5,5.5,2.6,3.1,0.5,3.3,3.9,1.8,0.5,0.1,1.4,1.6,14.9,3,3,3
Devin Booker,SG,9.6,19.3,2.1,5.9,7.5,13.5,4.8,5.6,0.3,3.8,4.1,4.5,0.9,0.2,3.3,2.8,26.1,2,2,2
Chris Boucher,C,4.7,9,1.5,3.8,3.2,5.3,2.5,3.2,1.8,4.5,6.3,1,0.6,1.9,0.7,2.7,13.3,1,1,1
Mikal Bridges,SF,4.9,9.3,1.7,4.2,3.2,5,1.6,1.9,1.2,3.5,4.7,2.3,0.9,0.9,0.8,1.6,13.1,3,3,1
Miles Bridges,PF,3.8,7.6,1.3,3.4,2.5,4.1,1.2,1.4,1.3,4.5,5.7,2,0.7,0.7,1.6,2.1,10.1,3,3,1
Malcolm Brogdon,PG,8,17.5,2.7,6.7,5.3,10.9,2.5,2.8,0.8,3.9,4.8,5.9,1,0.2,2.1,1.9,21.2,3,2,3
Dillon Brooks,SF,6.1,14.9,1.9,5.6,4.2,9.3,2.2,2.6,0.8,2.1,2.9,2.3,1.2,0.4,1.9,3.4,16.3,3,3,3
Bruce Brown,PG,3.5,6.4,0.2,0.9,3.3,5.5,1.2,1.6,1.6,3.1,4.7,1.5,0.8,0.3,0.8,2.1,8.4,4,4,1
Jaylen Brown,SG,9.2,18.9,2.7,6.8,6.5,12.1,3.3,4.4,1.2,4.5,5.7,3.5,1.2,0.5,2.7,2.8,24.3,2,2,2
Sterling Brown,SG,2.9,6.7,1.8,4.3,1.1,2.4,0.5,0.6,0.8,3.7,4.5,1.4,0.8,0.2,0.8,2,8.2,4,4,4
Jalen Brunson,PG,4.9,9,1.2,3.1,3.6,5.9,2.1,2.6,0.4,3.2,3.5,3.3,0.5,0,1.3,1.7,13.1,3,3,3
Reggie Bullock,SF,3.4,8,2.2,5.5,1.2,2.5,0.7,0.8,0.2,3.1,3.4,1.4,0.7,0.2,0.7,2.2,9.7,4,3,4
Trey Burke,PG,2.4,5.5,1,2.7,1.4,2.8,0.7,0.9,0.1,0.8,0.9,1.4,0.5,0.1,0.5,1,6.6,4,4,4
Alec Burks,SG,4.2,10.1,2,4.9,2.2,5.2,2.1,2.5,0.5,4,4.5,2.2,0.7,0.3,1,2.1,12.6,3,3,3
