Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF,21,MIA,48,2,12.4,2.1,3.7,0.57,0,0,NA,2.1,3.7,0.57,0.57,1,2,0.5,1.2,2.3,3.5,0.5,0.3,0.5,0.8,1.5,5.2
3,Steven Adams,C,27,NOP,47,47,27.9,3.4,5.6,0.618,0,0.1,0,3.4,5.5,0.625,0.618,1,2.4,0.441,4,4.9,8.9,1.9,0.9,0.6,1.5,2,7.9
4,Bam Adebayo,C,23,MIA,45,45,33.6,7.2,12.8,0.564,0,0.2,0.25,7.2,12.7,0.568,0.566,4.7,5.7,0.824,2.4,7.2,9.6,5.4,0.9,1.2,2.6,2.2,19.2
7,Nickeil Alexander-Walker,SG,22,NOP,41,10,20.8,3.9,9.2,0.418,1.6,4.6,0.348,2.3,4.7,0.487,0.504,1,1.3,0.75,0.2,2.8,3.1,2,1,0.5,1.4,1.9,10.2
9,Jarrett Allen,C,22,TOT,44,26,28.7,4.8,7.5,0.633,0.1,0.3,0.417,4.6,7.2,0.642,0.641,3.5,4.9,0.704,3,6.9,9.9,1.7,0.5,1.7,1.5,1.6,13.1
11,Kyle Anderson,PF,27,MEM,47,47,27.1,4.6,9.7,0.478,1.4,3.8,0.367,3.2,5.9,0.549,0.55,1.9,2.6,0.758,0.7,5.2,5.9,3.5,1.2,0.8,1.3,1.5,12.6
12,Giannis Antetokounmpo,PF,26,MIL,45,45,34,10.4,18.4,0.565,1.1,3.8,0.302,9.3,14.7,0.632,0.595,6.8,9.9,0.687,1.8,9.6,11.4,6.2,1.1,1.3,3.8,2.9,28.8
14,Thanasis Antetokounmpo,SF,28,MIL,38,1,10.1,1.4,2.5,0.579,0.2,0.5,0.35,1.3,2,0.64,0.616,0.4,0.8,0.483,0.9,1.4,2.3,0.8,0.4,0.2,0.8,1.3,3.4
15,Carmelo Anthony,PF,36,POR,49,3,25.5,4.8,11.7,0.411,1.8,4.6,0.382,3.1,7.1,0.43,0.486,2.2,2.5,0.869,0.5,2.8,3.3,1.7,0.8,0.7,1,2.2,13.6
20,D.J. Augustin,PG,33,TOT,48,6,19.5,2.2,5.6,0.384,1.3,3.5,0.371,0.9,2.1,0.406,0.5,1.3,1.4,0.923,0.4,1.3,1.6,3.2,0.5,0,1.1,1,6.9
